generation,best_fitness,avg_fitness
0,0.8,0.29885245901639335
1,0.8,0.412
2,0.83,0.5286666666666665
3,0.83,0.7869999999999998
4,0.83,0.8299999999999998
5,0.83,0.8299999999999998
6,0.83,0.8299999999999998
7,0.83,0.8299999999999998
8,0.83,0.8299999999999998
9,0.83,0.8299999999999998
10,0.83,0.8265573770491801
11,0.83,0.8299999999999998
12,0.83,0.8299999999999998
13,0.83,0.8299999999999998
14,0.83,0.8299999999999998
15,0.83,0.8265573770491801
16,0.83,0.8299999999999998
17,0.83,0.8299999999999998
18,0.83,0.8299999999999998
19,0.83,0.8299999999999998
20,0.83,0.8265573770491801
21,0.83,0.8299999999999998
22,0.83,0.8299999999999998
23,0.83,0.8299999999999998
24,0.83,0.8299999999999998
25,0.83,0.8299999999999998
26,0.83,0.8299999999999998
27,0.83,0.8299999999999998
28,0.83,0.8299999999999998
29,0.83,0.8299999999999998
30,0.83,0.8265573770491801
31,0.83,0.8299999999999998
32,0.83,0.8299999999999998
33,0.83,0.8299999999999998
34,0.83,0.8299999999999998
35,0.83,0.8232786885245901
36,0.83,0.8208333333333331
37,0.83,0.8299999999999998
38,0.83,0.8203333333333332
39,0.83,0.8299999999999998
40,0.83,0.8299999999999998
41,0.83,0.8224999999999999
42,0.83,0.8299999999999998
43,0.83,0.8208333333333331
44,0.83,0.8299999999999998
45,0.83,0.8265573770491801
46,0.83,0.8231666666666665
47,0.83,0.8299999999999998
48,0.83,0.8213333333333331
49,0.83,0.8299999999999998
50,0.83,0.8240983606557374
51,0.83,0.8299999999999998
52,0.83,0.8208333333333331
53,0.83,0.8299999999999998
54,0.83,0.8299999999999998
55,0.83,0.8265573770491801
56,0.83,0.8299999999999998
57,0.83,0.8299999999999998
58,0.83,0.8299999999999998
59,0.83,0.8299999999999998
60,0.83,0.8265573770491801
61,0.83,0.8299999999999998
62,0.83,0.8299999999999998
63,0.83,0.8299999999999998
64,0.83,0.8299999999999998
65,0.83,0.8265573770491801
66,0.83,0.8299999999999998
67,0.83,0.8299999999999998
68,0.83,0.8299999999999998
69,0.83,0.8299999999999998
70,0.83,0.8295081967213113
71,0.83,0.8299999999999998
72,0.83,0.8299999999999998
73,0.83,0.8299999999999998
74,0.83,0.8299999999999998
75,0.83,0.8299999999999998
76,0.83,0.8299999999999998
77,0.83,0.8299999999999998
78,0.83,0.8299999999999998
79,0.83,0.8264999999999998
80,0.83,0.8299999999999998
81,0.83,0.8299999999999998
82,0.83,0.8299999999999998
83,0.83,0.8299999999999998
84,0.83,0.8299999999999998
85,0.83,0.8245901639344261
86,0.83,0.8299999999999998
87,0.83,0.8299999999999998
88,0.83,0.8299999999999998
89,0.83,0.8299999999999998
90,0.83,0.8295081967213113
91,0.83,0.8299999999999998
92,0.83,0.8299999999999998
93,0.83,0.8299999999999998
94,0.83,0.8299999999999998
95,0.83,0.8175409836065571
96,0.83,0.8299999999999998
97,0.83,0.8299999999999998
98,0.83,0.8299999999999998
99,0.83,0.8213333333333331
100,0.83,0.8265573770491801
101,0.83,0.8299999999999998
102,0.83,0.8299999999999998
103,0.83,0.8299999999999998
104,0.83,0.8299999999999998
105,0.83,0.8299999999999998
106,0.83,0.8299999999999998
107,0.83,0.8299999999999998
108,0.83,0.8299999999999998
109,0.83,0.8299999999999998
110,0.83,0.8295081967213113
111,0.83,0.8213333333333331
112,0.83,0.8299999999999998
113,0.83,0.8299999999999998
114,0.83,0.8299999999999998
115,0.83,0.8299999999999998
116,0.83,0.8299999999999998
117,0.83,0.8299999999999998
118,0.83,0.8299999999999998
119,0.83,0.8299999999999998
120,0.83,0.8265573770491801
121,0.83,0.8299999999999998
122,0.83,0.8299999999999998
123,0.83,0.8208333333333331
124,0.83,0.8299999999999998
125,0.83,0.8299999999999998
126,0.83,0.8299999999999998
127,0.83,0.8299999999999998
128,0.83,0.8299999999999998
129,0.83,0.8299999999999998
130,0.83,0.8265573770491801
131,0.83,0.8213333333333331
132,0.83,0.8299999999999998
133,0.83,0.8299999999999998
134,0.83,0.8231666666666665
135,0.83,0.8299999999999998
136,0.83,0.8159999999999997
137,0.83,0.8299999999999998
138,0.83,0.8299999999999998
139,0.83,0.8299999999999998
140,0.83,0.8245901639344261
141,0.83,0.8244999999999999
142,0.83,0.8299999999999998
143,0.83,0.8299999999999998
144,0.83,0.8299999999999998
145,0.83,0.8265573770491801
146,0.83,0.8299999999999998
147,0.83,0.8299999999999998
148,0.83,0.8299999999999998
149,0.83,0.8299999999999998
150,0.83,0.8299999999999998
151,0.83,0.8299999999999998
152,0.83,0.8299999999999998
153,0.83,0.8299999999999998
154,0.83,0.8299999999999998
155,0.83,0.8265573770491801
156,0.83,0.8231666666666665
157,0.83,0.8244999999999998
158,0.83,0.8299999999999998
