Alpha (α),Balanced %,Initial Balanced %,Improved %,Median Generation,Median Execution Time (s),Fitness Std Dev
0.05,66.67%,6.67%,86.67%,2.5,1.191,0.1947
0.01,30.0%,3.33%,90.0%,500.0,7.453,0.0606
0.0,6.67%,0.0%,86.67%,500.0,40.216,0.0371
